Material Group,MG Description ,PGr,PGr Description,
65984,"tees, steel",,,
65997,"pipe fittings, misc",,,
67006,"compound, pipe joint",,,
67014,"gas meters, indicati",,,
67590,"weed killers, liquid",,,
72033,gasoline and diesel,,,
72518,"911 dispatch, etc.",,,
73500,"rags, shop towels, &",,,
74500,road & highway build,,,
75000,road & highway build,,,
75592,thermometer pavement,,,
79020,grass seed,,,
80000,shoes & boots,,,
80100,signs/sign material,,,
80109,"blanks, sign, metal",,,
80112,brackets & holders,,,
80130,posts/standards,,,
80554,golfing equipment,,,
81584,"valves, temperature",,,
83200,tape-not data proc,,,
85012,"blankets, bedding",,,
88582,sewer/septc chemicl,,,
89031,manhole risers,,,
89040,meter boxes/vaults,,,
89044,"meters, water",,,
90600,architectural serv,,,
91013,elevator,,,
91027,garbage/trash remov,,,
91039,janitorial/custodial,,,
91059,pest control,,,
91200,construction srv-gen,,,
91223,const-general,,,
91250,maint/rep-golf crse,,,
91395,pav/resrf-hwy/road,,,
91430,concrete,,,
91501,advertising agency,,,
91524,cable television,,,
91551,"internet, www, etc.",,,
91575,"telephone, cellular",,,
91579,telecom services,,,
91596,web page design,,,
91800,consulting services,,,
91804,accounting consulti,,,
91832,consulting services,,,
91838,training consulting,,,
91840,employee ben consult,,,
91878,medical consulting,,,
92000,data procesng softwr,,,
92045,software mmtc/suppt,,,
92500,engineering services,,,
92653,industrial hygi test,,,
92677,recycling services,,,
92815,auto veh mntc/repair,,,
93609,alarm equip repair,,,
93634,fire extinguis repai,,,
93639,"generators, repair",,,
93686,traffic control devi,,,
93972,radio/telecom/teleph,,,
94610,accounting/billing,,,
94612,actuarial/retirement,,,
94616,appraisal services,,,
94648,financial advisor,,,
94656,investment managemnt,,,
95214,cemetery services,,,
95238,employee assistance,,,
95277,resrch/eval-hmn srv,,,
95300,insurance/ins servic,,,
95327,claims processing,,,
95600,library services,,,
95635,internet dbase subs,,,
95640,magazine subscript,,,
95826,construction mgt,,,
95862,irrigation sys mgt,,,
95877,project management,,,
95878,property management,,,
96100,miscellaneous servic,,,
96149,legal-attorneys,,,
96153,marketing services,,,
96172,transcription,,,
96185,utility services,,,
96227,document shredding,,,
96245,industrial services,,,
96258,professional service,,,
96294,water-bottled,,,
96357,postage and stamps,,,
96600,printing/typeset srv,,,
96618,copying,,,
96636,forms (not cont),,,
96873,storm drain,,,
96888,tree removal,,,
96890,vehicle tow/storage,,,
97538,rent/lease-golf crse,,,
98100,rental/lease equip,,,
98386,uniform,,,
98527,copy mach-dig/analog,,,
98528,coolers-drink water,,,
98554,mailing equipment,,,
98815,fence,,,
98836,grounds maint,,,
98859,mulch/compost prod,,,
99010,armored car,,,
99048,identity theft prote,,,
99080,surveillance,,,
99200,testing/calib serv,,,
99253,medical equip test,,,
